a_id,b_id,score,label
2473,1889622141,0.921925961971283,2
71943,2137504198,0.95509272813797,2
2471,54187,0.9064949154853821,2
2137504198,32588,0.03343700245022774,1
2472,71555,0.9496684074401855,2
71555,32588,0.0810493677854538,1
29393,1191878965,0.1002364456653595,1
1191878965,2474,0.09718978404998779,1
1889622141,29393,0.7817017436027527,2
2472,2137504198,0.955312192440033,2
27868,29393,0.9219757318496704,2
29278,79734,0.029050404205918312,1
27868,2473,0.059703320264816284,1
81611,29393,0.8798454999923706,2
71943,29278,0.9550472497940063,2
71555,50112,0.04685896262526512,1
29278,50112,0.027855629101395607,1
71821,54187,0.9124398827552795,2
79734,1889622141,0.9288306832313538,2
39342,79306,0.07160251587629318,1
79609,2473,0.05788370221853256,1
29278,2471,0.05873590707778931,1
29278,1191878965,0.07304546236991882,1
71821,2137504198,0.9422764778137207,2
79306,1889622141,0.904914379119873,2
39342,50112,0.03968520835042,1
1191878965,2473,0.05592392385005951,1
2472,1889622141,0.9462080001831055,2
2137504198,50112,0.02817532606422901,1
27868,50112,0.04800692945718765,1
79306,29278,0.9440799355506897,2
29278,32588,0.037811536341905594,1
71821,29278,0.9450497031211853,2
2472,64199,0.9094418287277222,2
71943,2472,0.14533846080303192,1
79609,71943,0.09770505875349045,1
39342,32588,0.05220304802060127,1
2137504198,64199,0.06416076421737671,1
54187,27868,0.04089727625250816,1
79734,54187,0.9493933320045471,2
2137504198,79734,0.029801180586218834,1
1607563438,81611,0.8289190530776978,2
2137504198,2473,0.029203305020928383,1
2472,81611,0.9391811490058899,2
1889622141,50112,0.04256541281938553,1
29278,2474,0.07366590946912766,1
79609,2472,0.06874023377895355,1
54187,79306,0.051482971757650375,1
39342,25796815,0.07992443442344666,1
71943,54187,0.9448144435882568,2
2471,2137504198,0.9183576107025146,2
54187,2474,0.07377263903617859,1
79609,2466,0.05872025713324547,1
27868,79306,0.09047437459230423,1
2472,2471,0.9331804513931274,2
25796815,71555,0.833705484867096,2
29278,2466,0.03094218671321869,1
71555,79734,0.057217516005039215,1
39342,2471,0.08611437678337097,1
32588,54187,0.9256889224052429,2
25796815,29393,0.8953967094421387,2
29393,32588,0.050386279821395874,1
29278,2472,0.0352010540664196,1
1889622141,2474,0.107345350086689,1
71821,1889622141,0.8680368065834045,2
29393,1607563438,0.06811806559562683,1
81611,2473,0.046249207109212875,1
2137504198,2474,0.05990981683135033,1
2473,71555,0.9262263774871826,2
29393,2466,0.03568727895617485,1
79306,29393,0.9485210180282593,2
2472,39342,0.9511786103248596,2
2466,1889622141,0.9205038547515869,2
71821,29393,0.9334321022033691,2
54187,1607563438,0.05535626783967018,1
1191878965,32588,0.054549697786569595,1
2474,39342,0.9049027562141418,2
71555,29393,0.8685389757156372,2
2466,64199,0.8585681319236755,2
2473,29278,0.9548394083976746,2
29393,2474,0.09235040098428726,1
29393,2471,0.08200319111347198,1
54187,2472,0.04146492853760719,1
79306,71555,0.9197111129760742,2
64199,29393,0.8621035218238831,2
79609,50112,0.06458742916584015,1
81611,2137504198,0.8874762058258057,2
39342,64199,0.11370610445737839,1
39342,71821,0.058819305151700974,1
29278,79609,0.0479557067155838,1
1889622141,54187,0.8040217161178589,2
54187,2473,0.03414231538772583,1
29278,81611,0.08231249451637268,1
64199,50112,0.08036842942237854,1
2471,27868,0.22113794088363647,2
50112,2474,0.850259006023407,2
81611,2471,0.11206967383623123,1
1191878965,79734,0.05265188589692116,1
29393,2472,0.04294871166348457,1
79609,54187,0.8586317300796509,2
27868,1889622141,0.7562046051025391,2
2471,71555,0.8409711122512817,2
2137504198,79609,0.049180157482624054,1
29393,79609,0.07055909931659698,1
29278,71555,0.07647763937711716,1
39342,2473,0.0385548435151577,1
39342,54187,0.8036860227584839,2
79609,1889622141,0.8012710809707642,2
