,id,text,length,future,present,past,.,!,?,ORG,flesch_score,fleschkincaid_score,gunningfog_score,smog_score,dalechall_score,noun_rate,verb_rate,demonstrative_rate,adjective_rate,adposition_rate,adverb_rate,auxiliary_rate,conjunction_rate,determiner_rate,interjection_rate,numeral_rate,particle_rate,pronoun_rate,proper_noun_rate,punctuation_rate,subordinating_conjunction_rate,symbol_rate,possessive_rate,noun_verb_ratio,noun_ratio,pronoun_noun_ratio,closed_class_word_rate,open_class_word_rate,total_dependency_distance,average_dependency_distance,total_dependencies,average_dependencies,content_density,idea_density,honore_statistic,brunet_index,type_token_ratio,word_length,prop_inflected_verbs,prop_auxiliary_verbs,prop_gerund_verbs,prop_participles,mispelled,alliteration_score,is_passive,syllables,jargon,sentiment_label,sentiment_score,Tentative,PERSON,DATE,Certainty,GPE,Generalizing,Modal,NORP,TIME,CARDINAL,LOC,FAC,WORK_OF_ART,MONEY,PRODUCT,QUANTITY,ORDINAL,LANGUAGE,LAW,EVENT,PERCENT
0,0,"Did you hear about Dode?
",25,0.0,0.04,0.0,0.0,0.0,1.0,1.0,119.69750000000002,-2.8149999999999995,1.0,3.1291,6.918499999999999,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,NA,0.3333333333333333,0.16666666666666666,12,12.0,6,6.0,0.5,0.3333333333333333,NA,3.7930392279328475,1.0,3.3333333333333335,0.0,1.0,0.0,0.0,0.04,0.16666666666666666,0,1.4,0.04,0,0.9768866896629333,,,,,,,,,,,,,,,,,,,,,
1,1,"Without hope there's no point to anything.
",43,0.0,0.023255813953488372,0.0,1.0,0.0,0.0,,106.59678571428573,-0.7392857142857139,1.4000000000000001,3.1291,0.1736,0.2222222222222222,0.1111111111111111,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.2222222222222222,0.0,0.1111111111111111,0.0,0.0,0.2222222222222222,2.0,0.6666666666666666,1.0,0.5555555555555556,0.3333333333333333,19,19.0,8,8.0,0.6,0.3333333333333333,NA,4.613836261826039,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.125,0,1.4285714285714286,0.023255813953488372,0,0.9991229176521301,0.011627906976744186,,,,,,,,,,,,,,,,,,,,
2,2,"Au contraire, I think you can't resist me.
",43,0.011627906976744186,0.011627906976744186,0.0,1.0,0.0,0.0,,97.025,0.7200000000000006,1.6,3.1291,11.729899999999999,0.09090909090909091,0.18181818181818182,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.09090909090909091,0.2727272727272727,0.09090909090909091,0.18181818181818182,0.0,0.0,0.2727272727272727,0.5,0.3333333333333333,3.0,0.2727272727272727,0.2727272727272727,26,26.0,9,9.0,1.0,0.18181818181818182,NA,5.024671669329011,0.9090909090909091,3.1818181818181817,0.0,0.5,0.0,0.0,0.0,0.2222222222222222,0,1.375,0.09302325581395349,1,0.9994756579399109,,,,,,,,,,,,,,,,,,,,,
3,3,"I guess you know, Bob, how if I see you again I'll just start shootin' right off an' figure it's self defense.
",111,0.0018018018018018018,0.007207207207207207,0.0,1.0,0.0,0.0,,103.37909090909093,1.5727272727272723,4.4,3.1291,1.2633272727272726,0.07142857142857142,0.17857142857142858,0.0,0.0,0.03571428571428571,0.14285714285714285,0.07142857142857142,0.03571428571428571,0.0,0.0,0.0,0.0,0.25,0.03571428571428571,0.14285714285714285,0.03571428571428571,0.0,0.25,0.4,0.2857142857142857,3.5,0.32142857142857145,0.39285714285714285,134,134.0,14,14.0,1.2222222222222223,0.39285714285714285,2665.763608140163,7.187965512470891,0.8571428571428571,3.1785714285714284,0.0,0.4,0.0,0.0,0.0,0.17391304347826086,0,1.2272727272727273,0.02702702702702703,0,0.9985988736152649,,1.0,,,,,,,,,,,,,,,,,,,
4,4,"Do you think you're the only one who feels anything? Is that what you think?
",77,0.0,0.010822510822510824,0.0,0.0,0.0,1.0,,111.52000000000002,-1.0533333333333328,2.0,3.1291,4.937166666666667,0.05555555555555555,0.2222222222222222,0.05555555555555555,0.05555555555555555,0.0,0.0,0.1111111111111111,0.0,0.05555555555555555,0.0,0.0,0.0,0.3888888888888889,0.0,0.1111111111111111,0.0,0.0,0.4444444444444444,0.25,0.2,7.0,0.4444444444444444,0.3333333333333333,48,24.0,10,7.5,0.75,0.2777777777777778,1348.8401536848767,6.488323572073877,0.7222222222222222,3.4444444444444446,0.5,0.5,0.0,0.0,0.0,0.0625,1,1.2,0.012987012987012988,0,0.9978426694869995,,,,,,,,,,,,,,,,,,,,,
5,5,"You stomp around like a forties drunk and you're a lousy shot.
",63,0.0,0.015873015873015872,0.0,1.0,0.0,0.0,,109.09500000000001,-0.4666666666666668,2.4000000000000004,3.1291,7.8816,0.14285714285714285,0.07142857142857142,0.0,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.07142857142857142,0.0,0.0,0.2857142857142857,2.0,0.6666666666666666,1.0,0.42857142857142855,0.42857142857142855,54,54.0,12,12.0,1.0,0.42857142857142855,3430.7745284998377,5.631723801870992,0.8571428571428571,3.642857142857143,0.0,1.0,0.0,0.0,0.0,0.0,0,1.25,0.031746031746031744,0,0.9996846914291382,,,,,,,,,,,,,,,,,,,,,
6,6,"If this is about you fucked Melanie, I don't give a damn.
",58,0.0,0.008620689655172414,0.004310344827586207,1.0,0.0,0.0,,109.09500000000001,-0.4666666666666668,2.4000000000000004,3.1291,9.197433333333333,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.0,0.06666666666666667,0.0,0.13333333333333333,0.0,0.06666666666666667,0.0,0.0,0.06666666666666667,0.2,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.0,0.2,0.5,0.3333333333333333,3.0,0.3333333333333333,0.2,50,50.0,9,9.0,0.6,0.2,NA,5.65315860583391,1.0,3.066666666666667,0.5,1.0,0.0,0.0,0.0,0.23076923076923078,1,1.25,0.05172413793103448,0,0.9986170530319214,,1.0,,,,,,,,,,,,,,,,,,,
7,7,"I got detention slips here, I'm not afraid to use them...
",58,0.0,0.005747126436781609,0.005747126436781609,1.0,0.0,0.0,,104.06193181818183,-0.572045454545453,4.736363636363637,5.985473137389441,6.643809090909091,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.0,0.14285714285714285,0.21428571428571427,0.0,0.14285714285714285,0.0,0.0,0.2857142857142857,1.0,0.5,1.5,0.21428571428571427,0.42857142857142855,43,43.0,10,10.0,2.0,0.2857142857142857,3430.7745284998377,5.631723801870992,0.9285714285714286,3.357142857142857,0.5,0.5,0.0,0.0,0.0,0.0,0,1.3636363636363635,0.034482758620689655,1,0.9965651631355286,,,,,,,,,,,,,,,,,,,,,
8,8,"I know you're there, Little Miss Disappear.
",44,0.0,0.022727272727272728,0.0,1.0,0.0,0.0,,82.42535714285715,2.632142857142858,7.114285714285714,7.168621630094336,8.321528571428571,0.0,0.3,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.2,0.0,0.0,0.2,0.0,0.0,NA,0.2,0.4,29,29.0,6,6.0,2.0,0.4,NA,4.829605387205156,1.0,3.7,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.5,0,1.5714285714285714,0.045454545454545456,1,0.7688018679618835,,,,,,,,,,,,,,,,,,,,,
9,9,"Joe College strikes out.
",25,0.0,0.04,0.0,1.0,0.0,0.0,,99.055,-0.0600000000000005,0.8,3.1291,11.6307,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.0,NA,0.2,0.2,9,9.0,5,5.0,1.0,0.4,NA,3.435225088898748,1.0,4.2,1.0,0.0,0.0,0.0,0.0,0.2,0,1.25,0.0,1,0.9307745099067688,,1.0,,,,,,,,,,,,,,,,,,,
