,actual_mem_quote,sentence_a,sentence_b,label,confidence,title,mem_line_no,nonmem_line_no
0,"My mother would kill me if she knew I took the Rover!
",My mom would kill me if she knew I took the Rover.,I think it was something else... Suzie says the bust was bullshit...,0,0.9520333632826805,"wild things
",875814,875877
1,"No little bitch could ever make me cum.
",I think we just need to get wasted.,No little girl can ever make me come.,1,0.9478769302368164,"wild things
",876005,875797
2,"You've been a bad girl, Grace!
","What the hell you doin', Grace?","You been a bad girl, Grace. You took my heart from your Mama, didn't ya? You betrayed her! Like you did me. There ain't no forgivin' ya, girl!",1,0.9609757661819458,"u turn
",840737,840734
3,"Your lies are old but you tell them pretty good.
","All that uranium, plutonium, fuffonium, fuckononium, assononium, all that ""om""!","Your lies are old, but you tell 'em well.",1,0.946001410484314,"u turn
",840544,840540
4,"And a waitress named Flo.
",...and a waitress named Flo. Christ.,You son of a bitch!,0,0.9154706001281738,"u turn
",840284,840267
5,"I bet right now, you don't know if you want to kill me... or fuck me.
","Women say they don't want to be taken like, really taken -- that's bullshit -- they do.","Hate's a funny thing. Right now I bet you don't know if you want to kill me, or fuck me.",1,0.9605966806411743,"u turn
",840469,840483
6,"Is everyone in this town on drugs?
",I was making time with your girl.,Make time? Is everybody in this town on drugs?,1,0.9634193181991577,"u turn
",840308,840319
7,"And here I made you all hot and sweaty...
","Well, he offered, and I just couldn't refuse.",And here I've made you all hot and sweaty.,1,0.9474068880081177,"u turn
",840060,840064
8,"Don't admire people too much, they might disappoint you.
","Well, don't admire people too much. They'll disappoint you sometimes.",And I don't know if you're really giving.,0,0.9562109708786011,"ordinary people
",585340,585317
9,"A little advice about feelings kiddo; don't expect it always to tickle.
","A little advice about feeling, kiddo... Don't expect it always to tickle.",I mean there's someone besides your mother you've got to forgive.,0,0.9547540880739689,"ordinary people
",584701,584902
10,"Thank god, the... police.
",then I figured it.,"Thank God, the police.",1,0.9441412687301636,"fletch
",288126,288115
11,"Look, defenseless babies!
",I hate this.,Look! Defenseless babies!,1,0.9609889984130859,"fletch
",287669,287664
12,"Don King talks black, lives white and thinks green.
","Don King talks black, lives white and thinks green! Why you defending him and ""brother"" Herbert?",And now they got you up against George Foreman.,0,0.9578001424670219,"ali
",27572,27574
13,"Ain't no Vietcong ever called me nigger.
",No Vietcong ever called me nigger.,"I'm no Stokely Carmichael, H. Rap Brown...",0,0.9483175277709961,"ali
",27257,27238
14,"You look like the heavyweight champion of pimps.
","...what Heavyweight Champion of the World? I'm not the champ. I am retired, finished, out of the game. And I ain't gonna let myself grieve and suffer none. But I know I will not fight again...","There's no ""back"" to take you to...",0,0.9555319175124168,"ali
",27402,27394
15,"I saw it, and it was *good*!
",And he saw that it was good.,What if God was one of us.,0,0.35234057903289795,"bruce almighty
",149439,149462
16,"I'm Bruce Nolan with Eyewitness Nose... Eyewitness Nose... that's right!
","Well, I guess that's the way life works, isn't it?",I'm Bruce Nolan for Eyewitness news. Back to you fuckers 1,1,0.9601985216140747,"bruce almighty
",149279,149267
17,"And that's the way the cookie crumbles.
",And that's the way the cookie crumbles.,"Any word on the open anchor position, Jack?",0,0.7993575185537338,"bruce almighty
",149168,149164
18,"You'll wind up a Hindu; and love all forms of life, no matter how small.
","They'll make up some time, once they get through that and reach the Pleural Cavity.",You'll wind up a Hindu. Respecting all forms of life -- however small...,1,0.9668084383010864,"fantastic voyage
",276229,276054
19,"How much can a man give to his country?
",Where can I get a cab back to town?,How much can a man give to his country?,1,0.5882353782653809,"fantastic voyage
",275858,275855
20,"I kind of felt that he kind of felt that if I kind of told you that you'd know that he knew that you knew... or something.
","...that if I told you, you'd know that he knew that you knew that he knew... that you knew... or something.","Well, he didn't say in so many words that ever since you started with that house you haven't turned in a decent piece of copy, but --",0,0.8345445394515991,"mr blandings builds his dream house
",540098,540096
21,"You've been taken to the cleaners, and you don't even know your pants are off.
",You! You've been taken to the cleaners and you don't even know your pants are off!,"And besides, you're not getting fifty acres, you're only getting thirty- five, more or less.",0,0.9527309015393257,"mr blandings builds his dream house
",539744,539752
22,"So you hit a spring, a bubbling spring... right here, in our cellar.
","You mean you hit a spring, a bubbling spring right here in our cellar?",With a few minor deviations I know exactly where every penny is going --,0,0.6988087892532349,"mr blandings builds his dream house
",540108,540089
23,"God wouldn't take me.
",God wouldn't take me.,"Five six, grab your crucifix...",0,0.7500844597816467,"new nightmare
",557374,557394
24,"Dylan... until mommy gets back... whatever you do don't fall asleep.
","Promise. Cross my heart. But until Mommy gets back, Dylan, whatever you do, don't fall asleep.",He doesn't have to be awake to be on his feet.,0,0.9550858214497566,"new nightmare
",557521,557553
25,"I am Ard... Supreme Leader of The Revolution and Next Ruler of The World.
",You will go with him to the Queen's castle and steal the Loc-Nar.,I am Ard - supreme leader of the revolution and the next ruler of the world.,1,0.9232978820800781,"heavy metal
",365841,365859
26,"There was no way I was gonna walk around this place with my dork hanging out!
","I kept thinking I was going to run out of air, but my new body worked great.",There was no way I was gonna walk around this place with my dork hangin' out!,1,0.9472848176956177,"heavy metal
",365814,365821
27,"If you refuse, you die; she dies... everybody dies!
","If you refuse, you die, she dies, everybody dies.","She's sleeping, but only I can awaken her.",0,0.8703944236040115,"heavy metal
",365861,365854
28,"If you were any less black, you'd be clear.
","If you let them in here, they will kill you.","If you were any less black, you would be clear.",1,0.9530630111694336,"go
",325466,325653
29,"I'm not a bathroom attendant!
",We've been here five minutes.,I am not a bathroom attendant!,1,0.8665339946746826,"go
",325537,325519
30,"If I show up at your door, chances are you did something to bring me there.
","I thought you know... maybe seeing you, some friends, my house... of course now a 7-11--","If I show up at your door, chances are you did something to bring me there. I don't care about that stuff, anyway.",1,0.9584805965423584,"grosse pointe blank
",344705,344813
